CategorieSocioPro;Demande;Raison;Index
Commerçants et assimilés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;5
Commerçants et assimilés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;6
Commerçants et assimilés;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;7
Commerçants et assimilés;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;8
Commerçants et assimilés;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;9
Commerçants et assimilés;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;10
Commerçants et assimilés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;11
Commerçants et assimilés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;12
Commerçants et assimilés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;13
Commerçants et assimilés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;14
Commerçants et assimilés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;15
Commerçants et assimilés;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;16
Commerçants et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;17
Commerçants et assimilés;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;18
Commerçants et assimilés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;19
Commerçants et assimilés;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;20
Commerçants et assimilés;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;21
Commerçants et assimilés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;22
Commerçants et assimilés;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;23
Commerçants et assimilés;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;24
Commerçants et assimilés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;25
Commerçants et assimilés;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;26
Commerçants et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;27
Commerçants et assimilés;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;28
Commerçants et assimilés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;29
Commerçants et assimilés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;30
Commerçants et assimilés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;31
Commerçants et assimilés;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;32
Commerçants et assimilés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;33
Commerçants et assimilés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;34
Commerçants et assimilés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;35
Commerçants et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;36
Commerçants et assimilés;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;37
Commerçants et assimilés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;38
Commerçants et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;39
Commerçants et assimilés;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;40
Commerçants et assimilés;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;41
Commerçants et assimilés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;42
Commerçants et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;43
Commerçants et assimilés;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;44
Commerçants et assimilés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;45
Commerçants et assimilés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;46
Commerçants et assimilés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;47
Commerçants et assimilés;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;48
Commerçants et assimilés;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;49
Commerçants et assimilés;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;50
Chefs d'entreprise de 10 salariés ou plus;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;1
Chefs d'entreprise de 10 salariés ou plus;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;2
Chefs d'entreprise de 10 salariés ou plus;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;3
Chefs d'entreprise de 10 salariés ou plus;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;4
Chefs d'entreprise de 10 salariés ou plus;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;5
Chefs d'entreprise de 10 salariés ou plus;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;6
Chefs d'entreprise de 10 salariés ou plus;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;7
Chefs d'entreprise de 10 salariés ou plus;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;8
Chefs d'entreprise de 10 salariés ou plus;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;9
Chefs d'entreprise de 10 salariés ou plus;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;10
Professions libérales et assimilées;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;1
Professions libérales et assimilées;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;2
Professions libérales et assimilées;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;3
Professions libérales et assimilées;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;4
Professions libérales et assimilées;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;5
Professions libérales et assimilées;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;6
Professions libérales et assimilées;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;7
Professions libérales et assimilées;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;8
Professions libérales et assimilées;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;9
Professions libérales et assimilées;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;10
Professions libérales et assimilées;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;11
Professions libérales et assimilées;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;12
Professions libérales et assimilées;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;13
Professions libérales et assimilées;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;14
Professions libérales et assimilées;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;15
Professions libérales et assimilées;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;16
Professions libérales et assimilées;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;17
Professions libérales et assimilées;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;18
Professions libérales et assimilées;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;19
Professions libérales et assimilées;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;20
Cadres de la fonction publique;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;1
Cadres de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;2
Cadres de la fonction publique;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;3
Cadres de la fonction publique;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;4
Cadres de la fonction publique;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;5
Cadres de la fonction publique;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;6
Cadres de la fonction publique;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;7
Cadres de la fonction publique;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;8
Cadres de la fonction publique;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;9
Cadres de la fonction publique;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;10
Cadres de la fonction publique;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;11
Cadres de la fonction publique;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;12
Cadres de la fonction publique;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;13
Cadres de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;14
Cadres de la fonction publique;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;15
Cadres de la fonction publique;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;16
Cadres de la fonction publique;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;17
Cadres de la fonction publique;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;18
Cadres de la fonction publique;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;19
Cadres de la fonction publique;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;20
Cadres de la fonction publique;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;21
Cadres de la fonction publique;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;22
Cadres de la fonction publique;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;23
Cadres de la fonction publique;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;24
Cadres de la fonction publique;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;25
Cadres de la fonction publique;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;26
Cadres de la fonction publique;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;27
Cadres de la fonction publique;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;28
Cadres de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;29
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;30
Cadres de la fonction publique;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;31
Cadres de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;32
Cadres de la fonction publique;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;33
Cadres de la fonction publique;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;34
Cadres de la fonction publique;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;35
Cadres de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;36
Cadres de la fonction publique;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;37
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;38
Cadres de la fonction publique;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;39
Cadres de la fonction publique;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;40
Cadres de la fonction publique;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;41
Cadres de la fonction publique;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;42
Cadres de la fonction publique;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;43
Cadres de la fonction publique;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;44
Cadres de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;45
Cadres de la fonction publique;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;46
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;47
Cadres de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;48
Cadres de la fonction publique;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;49
Cadres de la fonction publique;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;50
Cadres de la fonction publique;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;51
Cadres de la fonction publique;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;52
Cadres de la fonction publique;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;53
Cadres de la fonction publique;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;54
Cadres de la fonction publique;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;55
Cadres de la fonction publique;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;56
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;57
Cadres de la fonction publique;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;58
Cadres de la fonction publique;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;59
Cadres de la fonction publique;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;60
Cadres de la fonction publique;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;61
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;62
Cadres de la fonction publique;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;63
Cadres de la fonction publique;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;64
Cadres de la fonction publique;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;65
Cadres de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;66
Cadres de la fonction publique;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;67
Cadres de la fonction publique;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;68
Cadres de la fonction publique;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;69
Cadres de la fonction publique;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;70
Cadres de la fonction publique;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;71
Cadres de la fonction publique;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;72
Cadres de la fonction publique;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;73
Cadres de la fonction publique;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;74
Cadres de la fonction publique;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;75
Cadres de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;76
Cadres de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;77
Cadres de la fonction publique;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;78
Cadres de la fonction publique;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;79
Cadres de la fonction publique;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;80
Cadres de la fonction publique;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;81
Cadres de la fonction publique;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;82
Cadres de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;83
Cadres de la fonction publique;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;84
Cadres de la fonction publique;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;85
Cadres de la fonction publique;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;86
Cadres de la fonction publique;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;87
Cadres de la fonction publique;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;88
Cadres de la fonction publique;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;89
Cadres de la fonction publique;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;90
Cadres de la fonction publique;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;91
Cadres de la fonction publique;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;92
Cadres de la fonction publique;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;93
Cadres de la fonction publique;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;94
Cadres de la fonction publique;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;95
Cadres de la fonction publique;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;96
Cadres de la fonction publique;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;97
Cadres de la fonction publique;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;98
Cadres de la fonction publique;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;99
Cadres de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;100
Professeurs et professions scientifiques;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;1
Professeurs et professions scientifiques;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;2
Professeurs et professions scientifiques;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;3
Professeurs et professions scientifiques;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;4
Professeurs et professions scientifiques;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;5
Professeurs et professions scientifiques;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;6
Professeurs et professions scientifiques;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;7
Professeurs et professions scientifiques;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;8
Professeurs et professions scientifiques;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;9
Professeurs et professions scientifiques;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;10
Professeurs et professions scientifiques;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;11
Professeurs et professions scientifiques;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;12
Professeurs et professions scientifiques;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;13
Professeurs et professions scientifiques;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;14
Professeurs et professions scientifiques;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;15
Professeurs et professions scientifiques;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;16
Professeurs et professions scientifiques;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;17
