CategorieSocioPro;Demande;Raison;Index
Chefs d'entreprise de 10 salariés ou plus;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;17
Chefs d'entreprise de 10 salariés ou plus;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;18
Professions libérales et assimilées;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;19
Professions libérales et assimilées;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;20
Professions libérales et assimilées;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;21
Professions libérales et assimilées;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;22
Cadres de la fonction publique;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;23
Cadres de la fonction publique;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;24
Cadres de la fonction publique;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;25
Cadres de la fonction publique;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;26
Cadres de la fonction publique;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;27
Cadres de la fonction publique;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;28
Cadres de la fonction publique;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;29
Cadres de la fonction publique;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;30
Cadres de la fonction publique;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;31
Cadres de la fonction publique;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;32
Cadres de la fonction publique;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;33
Cadres de la fonction publique;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;34
Cadres de la fonction publique;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;35
Cadres de la fonction publique;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;36
Cadres de la fonction publique;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;37
Cadres de la fonction publique;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;38
Cadres de la fonction publique;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;39
Cadres de la fonction publique;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;40
Cadres de la fonction publique;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;41
Cadres de la fonction publique;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;42
Professeurs et professions scientifiques;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;43
Professeurs et professions scientifiques;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;44
Professeurs et professions scientifiques;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;45
Professeurs et professions scientifiques;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;46
Professions de l'information, des arts et des spectacles;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;47
Professions de l'information, des arts et des spectacles;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;48
Cadres administratifs et commerciaux d'entreprise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;49
Cadres administratifs et commerciaux d'entreprise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;50
Cadres administratifs et commerciaux d'entreprise;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;51
Cadres administratifs et commerciaux d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;52
Ingénieurs et cadres techniques d'entreprise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;53
Ingénieurs et cadres techniques d'entreprise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;54
Ingénieurs et cadres techniques d'entreprise;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;55
Ingénieurs et cadres techniques d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;56
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;57
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;58
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;59
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;60
Professions intermédiaires administratives et commerciales des entreprises;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;61
Professions intermédiaires administratives et commerciales des entreprises;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;62
Professions intermédiaires administratives et commerciales des entreprises;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;63
Professions intermédiaires administratives et commerciales des entreprises;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;64
Techniciens;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;65
Techniciens;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;66
Techniciens;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;67
Techniciens;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;68
Contremaîtres, agents de maîtrise;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;69
Contremaîtres, agents de maîtrise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;70
Contremaîtres, agents de maîtrise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;71
Contremaîtres, agents de maîtrise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;72
Employés civils et agents de service de la fonction publique;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;73
Employés civils et agents de service de la fonction publique;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;74
Employés civils et agents de service de la fonction publique;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;75
Employés civils et agents de service de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;76
Employés civils et agents de service de la fonction publique;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;77
Employés civils et agents de service de la fonction publique;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;78
Employés civils et agents de service de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;79
Employés civils et agents de service de la fonction publique;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;80
Employés civils et agents de service de la fonction publique;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;81
Employés civils et agents de service de la fonction publique;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;82
Policiers et militaires;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;83
Policiers et militaires;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;84
Policiers et militaires;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;85
Policiers et militaires;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;86
Employés administratifs d'entreprise;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;87
Employés administratifs d'entreprise;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;88
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;89
Employés administratifs d'entreprise;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;90
Employés administratifs d'entreprise;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;91
Employés administratifs d'entreprise;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;92
Employés administratifs d'entreprise;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;93
Employés administratifs d'entreprise;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;94
Employés administratifs d'entreprise;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;95
Employés administratifs d'entreprise;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;96
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;97
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;98
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;99
Employés administratifs d'entreprise;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;100
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;101
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;102
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;103
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;104
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;105
Employés administratifs d'entreprise;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;106
Employés administratifs d'entreprise;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;107
Employés administratifs d'entreprise;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;108
Employés administratifs d'entreprise;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;109
Employés administratifs d'entreprise;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;110
Employés administratifs d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;111
Employés administratifs d'entreprise;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;112
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;113
Employés administratifs d'entreprise;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;114
Employés administratifs d'entreprise;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;115
Employés administratifs d'entreprise;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;116
Employés de commerce;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;117
Employés de commerce;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;118
Employés de commerce;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;119
Employés de commerce;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;120
Employés de commerce;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;121
Employés de commerce;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;122
Employés de commerce;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;123
Employés de commerce;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;124
Employés de commerce;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;125
Employés de commerce;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;126
Personnels des services directs aux particuliers;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;127
Personnels des services directs aux particuliers;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;128
Personnels des services directs aux particuliers;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;129
Personnels des services directs aux particuliers;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;130
Ouvriers qualifiés;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;131
Ouvriers qualifiés;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;132
Ouvriers qualifiés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;133
Ouvriers qualifiés;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;134
Ouvriers qualifiés;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;135
Ouvriers qualifiés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;136
Ouvriers qualifiés;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;137
Ouvriers qualifiés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;138
Ouvriers qualifiés;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;139
Ouvriers qualifiés;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;140
Ouvriers qualifiés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;141
Ouvriers qualifiés;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;142
Ouvriers qualifiés;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;143
Ouvriers qualifiés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;144
Ouvriers qualifiés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;145
Ouvriers qualifiés;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;146
Ouvriers qualifiés;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;147
Ouvriers qualifiés;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;148
Ouvriers qualifiés;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;149
Ouvriers qualifiés;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;150
Ouvriers non qualifiés;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;151
Ouvriers non qualifiés;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;152
Ouvriers non qualifiés;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;153
Ouvriers non qualifiés;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;154
Ouvriers non qualifiés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;155
Ouvriers non qualifiés;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;156
Ouvriers non qualifiés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;157
Ouvriers non qualifiés;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;158
Ouvriers non qualifiés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;159
Ouvriers non qualifiés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;160
Conducteurs de véhicules et du personnel de transport;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;161
Conducteurs de véhicules et du personnel de transport;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;162
Conducteurs de véhicules et du personnel de transport;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;163
Conducteurs de véhicules et du personnel de transport;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;164
Retraités;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;165
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;166
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;167
Retraités;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;168
Retraités;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;169
Retraités;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;170
Retraités;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;171
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;172
Retraités;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;173
Retraités;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;174
Retraités;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;175
Retraités;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;176
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;177
Retraités;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;178
Retraités;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;179
Retraités;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;180
Retraités;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;181
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;182
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;183
Retraités;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;184
Retraités;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;185
Retraités;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;186
Retraités;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;187
Retraités;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;188
Retraités;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;189
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;190
Retraités;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;191
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;192
Retraités;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;193
Retraités;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;194
Retraités;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;195
Retraités;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;196
Retraités;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;197
Retraités;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;198
Retraités;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;199
Retraités;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;200
Retraités;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;201
Retraités;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;202
Retraités;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;203
Retraités;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;204
Chômeurs;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;205
Chômeurs;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;206
Chômeurs;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;207
Chômeurs;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;208
Chômeurs;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;209
Chômeurs;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;210
Chômeurs;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;211
Chômeurs;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;212
Chômeurs;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;213
Chômeurs;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;214
Etudiants;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;215
Etudiants;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;216
Etudiants;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;217
Etudiants;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;218
Etudiants;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;219
Etudiants;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;220
Etudiants;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;221
Etudiants;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;222
Etudiants;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;223
Etudiants;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;224
